player_name,Role,sold_price,team,year,Player Origin,runs,balls,matches,strike_rate,wickets,run_conceded,balls_bowled,overs,economy,value_score,normalized_score,fair_price,difference,status
Axar Rajesh Patel,All-Rounder,7500000,Kings XI Punjab,2014,Indian,62,61,7,101.6393443,19,424,403,67.16666667,6.312655087,45.445901645000006,14.57747736802924,307208300.46218175,-299708300.5,Undervalued
Akshay Karnewar,All-Rounder,1000000,Royal Challengers Bangalore,2016,Indian,0,0,0,0,0,0,0,0,0,0,0,0,1000000,Overpaid
Akshay Wakhare,Bowler,1000000,Mumbai Indians,2015,Indian,0,0,0,0,0,0,0,0,0,0,0,0,1000000,Overpaid
Akshdeep Nath,All-Rounder,1000000,Gujarat Lions,2016,Indian,20,27,3,74.07407407,0,0,0,0,0,20.82111111,6.6786941177110375,140747964.64500764,-139747964.6,Undervalued
Akshdeep Nath,All-Rounder,1000000,Gujarat Lions,2017,Indian,0,1,1,0,0,0,0,0,0,0.37,0.11868323503191482,2501151.1942026354,-1501151.194,Undervalued
Akshdeep Nath,All-Rounder,10000000,Kings XI Punjab,2018,Indian,9,13,1,69.23076923,0,0,0,0,0,14.624615384499998,4.691072067378299,98860470.90188217,-88860470.9,Undervalued
Akshdeep Nath,All-Rounder,36000000,Royal Challengers Bangalore,2019,Indian,61,58,5,105.1724138,0,0,0,0,0,43.85586207,14.067447528597427,296459842.6734231,-260459842.7,Undervalued
Albie Morkel,All-Rounder,24000000,Royal Challengers Bangalore,2014,Overseas,0,0,0,0,0,0,0,0,0,0,0,0,24000000,Overpaid
Albie Morkel,All-Rounder,3000000,Delhi Daredevils,2015,Overseas,0,0,0,0,0,0,0,0,0,0,0,0,3000000,Overpaid
Alex Carey,Wicket Keeper,24000000,Delhi Capitals,2020,Overseas,32,29,3,110.3448276,0,0,0,0,0,31.421724140000002,10.07900505733949,212406710.4234237,-188406710.4,Undervalued
Alex Hales,Batsman,15000000,Kolkata Knight Riders,2022,Overseas,0,0,0,0,0,0,0,0,0,0,0,0,15000000,Overpaid
Alzarri Joseph,Bowler,24000000,Gujarat Titans,2022,Overseas,5,7,3,71.42857143,8,269,185,30.83333333,8.724324324,14.374285714500001,4.610774945594322,97168275.35305826,-73168275.35,Undervalued
Aman Khan,All-Rounder,2000000,Kolkata Knight Riders,2022,Indian,0,0,0,0,0,0,0,0,0,0,0,0,2000000,Overpaid
Ambati Rayudu,Wicket Keeper,22000000,Chennai Super Kings,2018,Indian,602,410,16,146.8292683,0,0,0,0,0,286.80439024500004,91.99695366387121,1938759846.3887575,-1916759846,Undervalued
Ambati Rayudu,Wicket Keeper,67500000,Chennai Super Kings,2022,Indian,274,230,11,119.1304348,0,0,0,0,0,139.75956521999998,44.83004682963104,944756225.5439028,-877256225.5,Undervalued
Amit Mishra,Bowler,1000000,Rajasthan Royals,2014,Indian,4,7,2,57.14285714,8,342,230,38.33333333,8.92173913,11.43142857,3.6668079022771325,77274949.25,-76274949.25,Undervalued
Amit Mishra,Bowler,47500000,Sunrisers Hyderabad,2014,Indian,4,7,2,57.14285714,8,342,230,38.33333333,8.92173913,11.43142857,3.6668079022771325,77274949.25,-29774949.25,Undervalued
Amit Mishra,Bowler,35000000,Delhi Daredevils,2015,Indian,8,13,4,61.53846154,9,312,249,41.5,7.518072289,14.60076923,4.683423044025738,98699274.04971011,-63699274.05,Undervalued
Amit Mishra,Bowler,1000000,Gujarat Lions,2016,Indian,4,14,2,28.57142857,14,350,284,47.33333333,7.394366197,7.445714285499999,2.388328266287789,50332046.423972815,-49332046.42,Undervalued
Amit Mishra,Bowler,40000000,Delhi Daredevils,2018,Indian,1,2,1,50,13,265,226,37.66666667,7.03539823,8.95,2.870851225771993,60500819.42733401,-20500819.43,Undervalued
Amit Paunikar,Wicket Keeper,2000000,Sunrisers Hyderabad,2014,Indian,0,0,0,0,0,0,0,0,0,0,0,0,2000000,Overpaid
Andre Russell,All-Rounder,6000000,Kolkata Knight Riders,2014,Overseas,2,8,2,25,2,54,31,5.166666667,10.4516129,5.45,1.7481719754700964,36841281.103795566,-30841281.1,Undervalued
Andrew Tye,Bowler,2000000,Chennai Super Kings,2015,Overseas,0,0,0,0,0,0,0,0,0,0,0,0,2000000,Overpaid
Andrew Tye,All-Rounder,5000000,Gujarat Lions,2016,Overseas,0,0,0,0,0,0,0,0,0,0,0,0,5000000,Overpaid
Andrew Tye,Bowler,72000000,Kings XI Punjab,2018,Overseas,32,40,8,80,28,459,353,58.83333333,7.801699717,30.119999999999997,9.661456862598037,203607226.94427934,-131607226.9,Undervalued
Andrew Tye,Bowler,10000000,Rajasthan Royals,2020,Overseas,6,7,1,85.71428571,2,54,27,4.5,12,15.907142856499998,5.102462633,107530187.43753211,-97530187.44,Undervalued
Aneeshwar Gautam,All-Rounder,2000000,Royal Challengers Bangalore,2022,Indian,0,0,0,0,0,0,0,0,0,0,0,0,2000000,Overpaid
Angelo Mathews,All-Rounder,75000000,Delhi Daredevils,2015,Overseas,0,0,0,0,0,0,0,0,0,0,0,0,75000000,Overpaid
Angelo Mathews,All-Rounder,20000000,Delhi Daredevils,2017,Overseas,0,0,0,0,0,0,0,0,0,0,0,0,20000000,Overpaid
Aniket Choudhary,Bowler,20000000,Royal Challengers Bangalore,2017,Indian,25,20,3,125,5,144,108,18,8,30.86,9.898823332661868,208609529.33268467,-188609529.3,Undervalued
Aniket Choudhary,Bowler,3000000,Royal Challengers Bangalore,2018,Indian,0,0,0,0,0,0,0,0,0,0,0,0,3000000,Overpaid
Anirudha Ashok Joshi,All-Rounder,2000000,Royal Challengers Bangalore,2018,Indian,0,0,0,0,0,0,0,0,0,0,0,0,2000000,Overpaid
Anirudha Ashok Joshi,All-Rounder,2000000,Rajasthan Royals,2020,Indian,0,0,0,0,0,0,0,0,0,0,0,0,2000000,Overpaid
Ankeet Bawane,Batsman,1000000,Delhi Daredevils,2017,Indian,0,0,0,0,0,0,0,0,0,0,0,0,1000000,Overpaid
Ankit Nagendra Sharma,Bowler,1000000,Rajasthan Royals,2014,Indian,0,0,0,0,0,0,0,0,0,0,0,0,1000000,Overpaid
Ankit Sharma,All-Rounder,1000000,Rising Pune Supergiant,2016,Indian,3,3,1,100,1,84,70,11.66666667,7.2,16.71,5.359991506441341,112957395.82466495,-111957395.8,Undervalued
Ankit Sharma,All-Rounder,2000000,Rajasthan Royals,2018,Indian,0,0,0,0,0,11,6,1,11,0,0,0,2000000,Overpaid
Ankit Singh Rajpoot,Bowler,15000000,Kolkata Knight Riders,2016,Indian,0,0,0,0,3,101,72,12,8.416666667,0.15000000000000002,0.048114825,1013980.2138659332,13986019.786134066,Overpaid
Ankit Singh Rajpoot,Bowler,30000000,Kings XI Punjab,2018,Indian,11,18,3,61.11111111,11,230,166,27.66666667,8.313253012,15.55666667,4.990041962955065,105161014.62359135,-75161014.62,Undervalued
Ankit Singh Rajpoot,Bowler,5000000,Lucknow Super Giants,2022,Indian,0,0,0,0,0,0,0,0,0,0,0,0,5000000,Overpaid
Ankush Bains,Wicket Keeper,1000000,Rajasthan Royals,2014,Indian,0,0,0,0,0,0,0,0,0,0,0,0,1000000,Overpaid
Ankush Bains,Wicket Keeper,1000000,Chennai Super Kings,2015,Indian,0,0,0,0,0,0,0,0,0,0,0,0,1000000,Overpaid
Ankush Bains,Wicket Keeper,1000000,Rising Pune Supergiant,2016,Indian,0,0,0,0,0,0,0,0,0,0,0,0,1000000,Overpaid
Ankush Bains,Wicket Keeper,2000000,Delhi Capitals,2019,Indian,0,0,0,0,0,0,0,0,0,0,0,0,2000000,Overpaid
Anmolpreet Singh,Batsman,8000000,Mumbai Indians,2019,Indian,0,0,0,0,0,0,0,0,0,0,0,0,8000000,Overpaid
Anmolpreet Singh,Batsman,2000000,Mumbai Indians,2022,Indian,13,13,2,100,0,0,0,0,0,21.33,6.841928116839845,144187986.41173568,-142187986.4,Undervalued
Anrich Nortje,Bowler,2000000,Kolkata Knight Riders,2019,Overseas,0,0,0,0,0,0,0,0,0,0,0,0,2000000,Overpaid
Ansh Patel,All-Rounder,2000000,Punjab Kings,2022,Indian,0,0,0,0,0,0,0,0,0,0,0,0,2000000,Overpaid
Anuj Rawat,Wicket Keeper,8000000,Rajasthan Royals,2020,Indian,0,0,0,0,0,0,0,0,0,0,0,0,8000000,Overpaid
Anuj Rawat,Wicket Keeper,34000000,Royal Challengers Bangalore,2022,Indian,129,123,8,104.8780488,0,0,0,0,0,74.16170731999999,23.788517135750368,501323358.9933089,-467323359,Undervalued
